Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total Salaries With Tax,Date,Time,Payment,COGS without Tax,Gross Income Percentage,Profit Income,Rating,Rounded_Rating
273166619,B,Mandalay,Normal,Male,Home and lifestyle,$33.20,2,$3.32,$69.72,3/15/2019,12:20:00 PM,Credit card,$66.40,$4.76,$3.32,4.4,4
636488204,A,Yangon,Normal,Male,Electronic accessories,$34.56,5,$8.64,$181.44,2/17/2019,11:15:00 AM,Ewallet,$172.80,$4.76,$8.64,9.9,10
549591358,A,Yangon,Member,Male,Sports and travel,$88.63,3,$13.29,$279.18,3/2/2019,5:36:00 PM,Ewallet,$265.89,$4.76,$13.29,6,6
227035010,A,Yangon,Member,Female,Home and lifestyle,$52.59,8,$21.04,$441.76,3/22/2019,7:20:00 PM,Credit card,$420.72,$4.76,$21.04,8.5,9
649296775,B,Mandalay,Normal,Male,Fashion accessories,$33.52,1,$1.68,$35.20,2/8/2019,3:31:00 PM,Cash,$33.52,$4.76,$1.68,6.7,7
189174241,A,Yangon,Normal,Female,Fashion accessories,$87.67,2,$8.77,$184.11,3/10/2019,12:17:00 PM,Credit card,$175.34,$4.76,$8.77,7.7,8
145949061,B,Mandalay,Normal,Female,Food and beverages,$88.36,5,$22.09,$463.89,1/25/2019,7:48:00 PM,Cash,$441.80,$4.76,$22.09,9.6,10
848627243,A,Yangon,Normal,Male,Health and beauty,$24.89,9,$11.20,$235.21,3/15/2019,3:36:00 PM,Cash,$224.01,$4.76,$11.20,7.4,7
871798483,B,Mandalay,Normal,Male,Fashion accessories,$94.13,5,$23.53,$494.18,2/25/2019,7:39:00 PM,Credit card,$470.65,$4.76,$23.53,4.8,5
149716266,B,Mandalay,Member,Male,Sports and travel,$78.07,9,$35.13,$737.76,1/28/2019,12:43:00 PM,Cash,$702.63,$4.76,$35.13,4.5,5
640492076,B,Mandalay,Normal,Male,Sports and travel,$83.78,8,$33.51,$703.75,1/10/2019,2:49:00 PM,Cash,$670.24,$4.76,$33.51,5.1,5
595115460,A,Yangon,Normal,Male,Health and beauty,$96.58,2,$9.66,$202.82,3/15/2019,10:12:00 AM,Credit card,$193.16,$4.76,$9.66,5.1,5
183566882,C,Naypyitaw,Member,Female,Food and beverages,$99.42,4,$19.88,$417.56,2/6/2019,10:42:00 AM,Ewallet,$397.68,$4.76,$19.88,7.5,8
232162483,C,Naypyitaw,Member,Female,Sports and travel,$68.12,1,$3.41,$71.53,1/7/2019,12:28:00 PM,Ewallet,$68.12,$4.76,$3.41,6.8,7
129298530,A,Yangon,Member,Male,Sports and travel,$62.62,5,$15.66,$328.76,3/10/2019,7:15:00 PM,Ewallet,$313.10,$4.76,$15.66,7,7
272651806,A,Yangon,Normal,Female,Electronic accessories,$60.88,9,$27.40,$575.32,1/15/2019,5:17:00 PM,Ewallet,$547.92,$4.76,$27.40,4.7,5
333737901,C,Naypyitaw,Normal,Female,Health and beauty,$54.92,8,$21.97,$461.33,3/23/2019,1:24:00 PM,Ewallet,$439.36,$4.76,$21.97,7.6,8
777827220,B,Mandalay,Member,Male,Home and lifestyle,$30.12,8,$12.05,$253.01,3/3/2019,1:01:00 PM,Cash,$240.96,$4.76,$12.05,7.7,8
280355823,B,Mandalay,Member,Female,Home and lifestyle,$86.72,1,$4.34,$91.06,1/17/2019,6:45:00 PM,Ewallet,$86.72,$4.76,$4.34,7.9,8
554538700,C,Naypyitaw,Member,Male,Home and lifestyle,$56.11,2,$5.61,$117.83,2/2/2019,10:11:00 AM,Cash,$112.22,$4.76,$5.61,6.3,6
354255821,B,Mandalay,Member,Female,Sports and travel,$69.12,6,$20.74,$435.46,2/8/2019,1:03:00 PM,Cash,$414.72,$4.76,$20.74,5.6,6
228961411,C,Naypyitaw,Member,Female,Food and beverages,$98.70,8,$39.48,$829.08,3/4/2019,8:39:00 PM,Cash,$789.60,$4.76,$39.48,7.6,8
617154209,C,Naypyitaw,Member,Male,Health and beauty,$15.37,2,$1.54,$32.28,3/16/2019,7:47:00 PM,Cash,$30.74,$4.76,$1.54,7.2,7
132329879,B,Mandalay,Member,Female,Electronic accessories,$93.96,4,$18.79,$394.63,3/9/2019,6:00:00 PM,Cash,$375.84,$4.76,$18.79,9.5,10
370417321,B,Mandalay,Member,Male,Health and beauty,$56.69,9,$25.51,$535.72,2/27/2019,5:24:00 PM,Credit card,$510.21,$4.76,$25.51,8.4,8
727463608,B,Mandalay,Member,Female,Food and beverages,$20.01,9,$9.00,$189.09,2/6/2019,3:47:00 PM,Ewallet,$180.09,$4.76,$9.00,4.1,4
669541719,B,Mandalay,Member,Male,Electronic accessories,$18.93,6,$5.68,$119.26,2/10/2019,12:45:00 PM,Credit card,$113.58,$4.76,$5.68,8.1,8
574225561,C,Naypyitaw,Member,Female,Fashion accessories,$82.63,10,$41.32,$867.62,3/19/2019,5:08:00 PM,Ewallet,$826.30,$4.76,$41.32,7.9,8
326785178,C,Naypyitaw,Member,Male,Food and beverages,$91.40,7,$31.99,$671.79,2/3/2019,10:19:00 AM,Cash,$639.80,$4.76,$31.99,9.5,10
162488011,A,Yangon,Member,Female,Food and beverages,$44.59,5,$11.15,$234.10,2/10/2019,3:10:00 PM,Cash,$222.95,$4.76,$11.15,8.5,9
616242851,B,Mandalay,Member,Female,Fashion accessories,$17.87,4,$3.57,$75.05,3/22/2019,2:42:00 PM,Ewallet,$71.48,$4.76,$3.57,6.5,7
778715554,C,Naypyitaw,Member,Male,Fashion accessories,$15.43,1,$0.77,$16.20,1/25/2019,3:46:00 PM,Credit card,$15.43,$4.76,$0.77,6.1,6
242556721,B,Mandalay,Normal,Male,Home and lifestyle,$16.16,2,$1.62,$33.94,3/7/2019,11:49:00 AM,Ewallet,$32.32,$4.76,$1.62,6.5,7
399465918,C,Naypyitaw,Normal,Female,Electronic accessories,$85.98,8,$34.39,$722.23,2/28/2019,7:01:00 PM,Cash,$687.84,$4.76,$34.39,8.2,8
106356779,A,Yangon,Member,Male,Home and lifestyle,$44.34,2,$4.43,$93.11,3/27/2019,11:26:00 AM,Cash,$88.68,$4.76,$4.43,5.8,6
635406220,A,Yangon,Normal,Male,Health and beauty,$89.60,8,$35.84,$752.64,2/7/2019,11:28:00 AM,Ewallet,$716.80,$4.76,$35.84,6.6,7
817488732,A,Yangon,Member,Female,Home and lifestyle,$72.35,10,$36.18,$759.68,1/20/2019,3:55:00 PM,Cash,$723.50,$4.76,$36.18,5.4,5
120064233,C,Naypyitaw,Normal,Male,Electronic accessories,$30.61,6,$9.18,$192.84,3/12/2019,8:36:00 PM,Cash,$183.66,$4.76,$9.18,9.3,9
285685083,C,Naypyitaw,Member,Female,Sports and travel,$24.74,3,$3.71,$77.93,2/15/2019,5:47:00 PM,Credit card,$74.22,$4.76,$3.71,10,10
803835989,C,Naypyitaw,Normal,Male,Home and lifestyle,$55.73,6,$16.72,$351.10,2/24/2019,10:55:00 AM,Ewallet,$334.38,$4.76,$16.72,7,7
347342234,B,Mandalay,Member,Female,Sports and travel,$55.07,9,$24.78,$520.41,2/3/2019,1:40:00 PM,Ewallet,$495.63,$4.76,$24.78,10,10
199758169,A,Yangon,Member,Male,Sports and travel,$15.81,10,$7.91,$166.01,3/6/2019,12:27:00 PM,Credit card,$158.10,$4.76,$7.91,8.6,9
853232453,B,Mandalay,Member,Male,Health and beauty,$75.74,4,$15.15,$318.11,2/14/2019,2:35:00 PM,Cash,$302.96,$4.76,$15.15,7.6,8
877223308,A,Yangon,Member,Male,Health and beauty,$15.87,10,$7.94,$166.64,3/13/2019,4:40:00 PM,Cash,$158.70,$4.76,$7.94,5.8,6
838784295,C,Naypyitaw,Normal,Female,Health and beauty,$33.47,2,$3.35,$70.29,2/10/2019,3:43:00 PM,Ewallet,$66.94,$4.76,$3.35,6.7,7
109282512,B,Mandalay,Member,Female,Fashion accessories,$97.61,6,$29.28,$614.94,1/7/2019,3:01:00 PM,Ewallet,$585.66,$4.76,$29.28,9.9,10
232113025,A,Yangon,Normal,Male,Sports and travel,$78.77,10,$39.39,$827.09,1/24/2019,10:04:00 AM,Cash,$787.70,$4.76,$39.39,6.4,6
382034532,A,Yangon,Member,Female,Health and beauty,$18.33,1,$0.92,$19.25,2/2/2019,6:50:00 PM,Cash,$18.33,$4.76,$0.92,4.3,4
393652792,C,Naypyitaw,Normal,Male,Food and beverages,$89.48,10,$44.74,$939.54,1/6/2019,12:46:00 PM,Credit card,$894.80,$4.76,$44.74,9.6,10
796122025,C,Naypyitaw,Normal,Male,Fashion accessories,$62.12,10,$31.06,$652.26,2/11/2019,4:19:00 PM,Cash,$621.20,$4.76,$31.06,5.9,6
510956347,B,Mandalay,Member,Female,Food and beverages,$48.52,3,$7.28,$152.84,3/5/2019,6:17:00 PM,Ewallet,$145.56,$4.76,$7.28,4,4
841356630,C,Naypyitaw,Normal,Female,Electronic accessories,$75.91,6,$22.77,$478.23,3/9/2019,6:21:00 PM,Cash,$455.46,$4.76,$22.77,8.7,9
287219091,A,Yangon,Normal,Male,Home and lifestyle,$74.67,9,$33.60,$705.63,1/22/2019,10:55:00 AM,Ewallet,$672.03,$4.76,$33.60,9.4,9
732940499,C,Naypyitaw,Normal,Female,Electronic accessories,$41.65,10,$20.83,$437.33,1/13/2019,5:04:00 PM,Credit card,$416.50,$4.76,$20.83,5.4,5
263103913,C,Naypyitaw,Member,Male,Fashion accessories,$49.04,9,$22.07,$463.43,1/9/2019,2:20:00 PM,Credit card,$441.36,$4.76,$22.07,8.6,9
381200914,A,Yangon,Member,Female,Fashion accessories,$20.01,9,$9.00,$189.09,1/12/2019,3:48:00 PM,Credit card,$180.09,$4.76,$9.00,5.7,6
829491914,C,Naypyitaw,Member,Female,Food and beverages,$78.31,10,$39.16,$822.26,3/5/2019,4:24:00 PM,Ewallet,$783.10,$4.76,$39.16,6.6,7
756017507,C,Naypyitaw,Normal,Female,Health and beauty,$20.38,5,$5.10,$107.00,1/22/2019,6:56:00 PM,Cash,$101.90,$4.76,$5.10,6,6
870724431,C,Naypyitaw,Normal,Female,Health and beauty,$99.19,6,$29.76,$624.90,1/21/2019,2:42:00 PM,Credit card,$595.14,$4.76,$29.76,5.5,6
847387188,B,Mandalay,Normal,Female,Food and beverages,$96.68,3,$14.50,$304.54,1/26/2019,7:56:00 PM,Ewallet,$290.04,$4.76,$14.50,6.4,6
480632856,C,Naypyitaw,Normal,Male,Food and beverages,$19.25,8,$7.70,$161.70,1/23/2019,6:37:00 PM,Ewallet,$154.00,$4.76,$7.70,6.6,7
787560757,C,Naypyitaw,Member,Female,Food and beverages,$80.36,4,$16.07,$337.51,2/23/2019,6:45:00 PM,Credit card,$321.44,$4.76,$16.07,8.3,8
360395055,C,Naypyitaw,Member,Male,Sports and travel,$48.91,5,$12.23,$256.78,3/9/2019,10:17:00 AM,Cash,$244.55,$4.76,$12.23,6.6,7
730509884,C,Naypyitaw,Normal,Female,Sports and travel,$83.06,7,$29.07,$610.49,3/5/2019,2:31:00 PM,Ewallet,$581.42,$4.76,$29.07,4,4
362588315,C,Naypyitaw,Normal,Male,Fashion accessories,$76.52,5,$19.13,$401.73,3/25/2019,10:23:00 AM,Cash,$382.60,$4.76,$19.13,9.9,10
633448566,A,Yangon,Member,Male,Food and beverages,$49.38,7,$17.28,$362.94,3/27/2019,8:35:00 PM,Credit card,$345.66,$4.76,$17.28,7.3,7
504358843,A,Yangon,Normal,Male,Sports and travel,$42.47,1,$2.12,$44.59,1/2/2019,4:57:00 PM,Cash,$42.47,$4.76,$2.12,5.7,6
318685053,B,Mandalay,Normal,Female,Health and beauty,$76.99,6,$23.10,$485.04,2/27/2019,5:55:00 PM,Cash,$461.94,$4.76,$23.10,6.1,6
565805980,C,Naypyitaw,Member,Female,Home and lifestyle,$47.38,4,$9.48,$199.00,1/23/2019,10:25:00 AM,Cash,$189.52,$4.76,$9.48,7.1,7
225320908,C,Naypyitaw,Normal,Female,Sports and travel,$44.86,10,$22.43,$471.03,1/26/2019,7:54:00 PM,Ewallet,$448.60,$4.76,$22.43,8.2,8
873510671,A,Yangon,Member,Female,Sports and travel,$21.98,7,$7.69,$161.55,1/10/2019,4:42:00 PM,Ewallet,$153.86,$4.76,$7.69,5.1,5
152089985,B,Mandalay,Member,Male,Health and beauty,$64.36,9,$28.96,$608.20,3/12/2019,12:09:00 PM,Credit card,$579.24,$4.76,$28.96,8.6,9
512910811,C,Naypyitaw,Normal,Male,Health and beauty,$89.75,1,$4.49,$94.24,2/6/2019,8:05:00 PM,Credit card,$89.75,$4.76,$4.49,6.6,7
594344444,A,Yangon,Normal,Male,Electronic accessories,$97.16,1,$4.86,$102.02,3/8/2019,8:38:00 PM,Ewallet,$97.16,$4.76,$4.86,7.2,7
766857061,B,Mandalay,Normal,Male,Health and beauty,$87.87,10,$43.94,$922.64,3/29/2019,10:25:00 AM,Ewallet,$878.70,$4.76,$43.94,5.1,5
871399221,C,Naypyitaw,Normal,Female,Electronic accessories,$12.45,6,$3.74,$78.44,2/9/2019,1:11:00 PM,Cash,$74.70,$4.76,$3.74,4.1,4
865926136,A,Yangon,Normal,Male,Food and beverages,$52.75,3,$7.91,$166.16,3/23/2019,10:16:00 AM,Ewallet,$158.25,$4.76,$7.91,9.3,9
733019107,B,Mandalay,Normal,Male,Home and lifestyle,$82.70,6,$24.81,$521.01,3/5/2019,6:14:00 PM,Cash,$496.20,$4.76,$24.81,7.4,7
163567055,C,Naypyitaw,Member,Male,Fashion accessories,$48.71,1,$2.44,$51.15,3/26/2019,7:20:00 PM,Cash,$48.71,$4.76,$2.44,4.1,4
189982939,C,Naypyitaw,Normal,Male,Fashion accessories,$78.55,9,$35.35,$742.30,3/1/2019,1:22:00 PM,Cash,$706.95,$4.76,$35.35,7.2,7
551213069,C,Naypyitaw,Normal,Female,Electronic accessories,$23.07,9,$10.38,$218.01,2/1/2019,11:27:00 AM,Cash,$207.63,$4.76,$10.38,4.9,5
212621842,A,Yangon,Normal,Male,Food and beverages,$58.26,6,$17.48,$367.04,3/28/2019,4:44:00 PM,Cash,$349.56,$4.76,$17.48,9.9,10
716391409,B,Mandalay,Normal,Male,Health and beauty,$30.35,7,$10.62,$223.07,3/19/2019,6:19:00 PM,Cash,$212.45,$4.76,$10.62,8,8
704483927,A,Yangon,Member,Male,Electronic accessories,$88.67,10,$44.34,$931.04,1/12/2019,2:50:00 PM,Ewallet,$886.70,$4.76,$44.34,7.3,7
628343388,C,Naypyitaw,Normal,Male,Fashion accessories,$27.38,6,$8.21,$172.49,1/5/2019,8:54:00 PM,Credit card,$164.28,$4.76,$8.21,7.9,8
630745166,A,Yangon,Normal,Male,Sports and travel,$62.13,6,$18.64,$391.42,3/22/2019,8:19:00 PM,Cash,$372.78,$4.76,$18.64,7.4,7
588017461,C,Naypyitaw,Normal,Female,Food and beverages,$33.98,9,$15.29,$321.11,3/24/2019,10:43:00 AM,Cash,$305.82,$4.76,$15.29,4.2,4
861770145,C,Naypyitaw,Member,Male,Electronic accessories,$81.97,10,$40.99,$860.69,3/3/2019,2:30:00 PM,Cash,$819.70,$4.76,$40.99,9.2,9
479268945,B,Mandalay,Member,Female,Sports and travel,$16.49,2,$1.65,$34.63,2/5/2019,11:32:00 AM,Ewallet,$32.98,$4.76,$1.65,4.6,5
210675886,C,Naypyitaw,Member,Female,Health and beauty,$98.21,3,$14.73,$309.36,2/5/2019,10:41:00 AM,Credit card,$294.63,$4.76,$14.73,7.8,8
227781148,B,Mandalay,Normal,Female,Fashion accessories,$72.84,7,$25.49,$535.37,2/15/2019,12:44:00 PM,Cash,$509.88,$4.76,$25.49,8.4,8
645441170,A,Yangon,Member,Male,Home and lifestyle,$58.07,9,$26.13,$548.76,1/19/2019,8:07:00 PM,Ewallet,$522.63,$4.76,$26.13,4.3,4
237016122,C,Naypyitaw,Member,Female,Home and lifestyle,$80.79,9,$36.36,$763.47,2/1/2019,8:31:00 PM,Credit card,$727.11,$4.76,$36.36,9.5,10
225981496,C,Naypyitaw,Normal,Female,Fashion accessories,$27.02,3,$4.05,$85.11,3/2/2019,1:01:00 PM,Credit card,$81.06,$4.76,$4.05,7.1,7
291321427,B,Mandalay,Member,Male,Fashion accessories,$21.94,5,$5.49,$115.19,3/5/2019,12:29:00 PM,Ewallet,$109.70,$4.76,$5.49,5.3,5
659658956,B,Mandalay,Member,Male,Fashion accessories,$51.36,1,$2.57,$53.93,1/16/2019,3:26:00 PM,Ewallet,$51.36,$4.76,$2.57,5.2,5
642322990,A,Yangon,Normal,Female,Food and beverages,$10.96,10,$5.48,$115.08,2/2/2019,8:48:00 PM,Ewallet,$109.60,$4.76,$5.48,6,6
378242715,B,Mandalay,Normal,Male,Home and lifestyle,$53.44,2,$5.34,$112.22,1/20/2019,8:38:00 PM,Ewallet,$106.88,$4.76,$5.34,4.1,4
638607125,A,Yangon,Normal,Female,Electronic accessories,$99.56,8,$39.82,$836.30,2/14/2019,5:03:00 PM,Credit card,$796.48,$4.76,$39.82,5.2,5
659361684,C,Naypyitaw,Member,Male,Sports and travel,$57.12,7,$19.99,$419.83,1/12/2019,12:02:00 PM,Credit card,$399.84,$4.76,$19.99,6.5,7
219229386,B,Mandalay,Member,Male,Sports and travel,$99.96,9,$44.98,$944.62,3/9/2019,5:26:00 PM,Credit card,$899.64,$4.76,$44.98,4.2,4
336782147,C,Naypyitaw,Member,Male,Home and lifestyle,$63.91,8,$25.56,$536.84,3/13/2019,7:52:00 PM,Credit card,$511.28,$4.76,$25.56,4.6,5
268276179,B,Mandalay,Member,Female,Fashion accessories,$56.47,8,$22.59,$474.35,3/9/2019,2:57:00 PM,Ewallet,$451.76,$4.76,$22.59,7.3,7
668908900,A,Yangon,Normal,Female,Home and lifestyle,$93.69,7,$32.79,$688.62,3/10/2019,6:44:00 PM,Credit card,$655.83,$4.76,$32.79,4.5,5
870543162,A,Yangon,Normal,Female,Sports and travel,$32.25,5,$8.06,$169.31,1/27/2019,1:26:00 PM,Cash,$161.25,$4.76,$8.06,9,9
189089157,C,Naypyitaw,Normal,Female,Fashion accessories,$31.73,9,$14.28,$299.85,1/8/2019,4:17:00 PM,Credit card,$285.57,$4.76,$14.28,5.9,6
663869076,C,Naypyitaw,Member,Female,Food and beverages,$68.54,8,$27.42,$575.74,1/8/2019,3:57:00 PM,Ewallet,$548.32,$4.76,$27.42,8.5,9
549847482,B,Mandalay,Normal,Female,Sports and travel,$90.28,9,$40.63,$853.15,2/8/2019,11:15:00 AM,Ewallet,$812.52,$4.76,$40.63,7.2,7
191106171,B,Mandalay,Normal,Female,Fashion accessories,$39.62,7,$13.87,$291.21,1/25/2019,1:18:00 PM,Cash,$277.34,$4.76,$13.87,7.5,8
802705316,A,Yangon,Member,Female,Sports and travel,$92.13,6,$27.64,$580.42,3/6/2019,8:34:00 PM,Cash,$552.78,$4.76,$27.64,8.3,8
695510018,B,Mandalay,Normal,Female,Sports and travel,$34.84,4,$6.97,$146.33,2/10/2019,6:36:00 PM,Cash,$139.36,$4.76,$6.97,7.4,7
590834591,B,Mandalay,Member,Male,Electronic accessories,$87.45,6,$26.24,$550.94,2/17/2019,2:40:00 PM,Credit card,$524.70,$4.76,$26.24,8.8,9
483711164,C,Naypyitaw,Normal,Female,Health and beauty,$81.30,6,$24.39,$512.19,3/8/2019,4:43:00 PM,Ewallet,$487.80,$4.76,$24.39,5.3,5
597787908,C,Naypyitaw,Normal,Male,Fashion accessories,$90.22,3,$13.53,$284.19,2/18/2019,7:39:00 PM,Cash,$270.66,$4.76,$13.53,6.2,6
700811757,A,Yangon,Normal,Female,Electronic accessories,$26.31,5,$6.58,$138.13,1/18/2019,8:59:00 PM,Credit card,$131.55,$4.76,$6.58,8.8,9
354395160,A,Yangon,Member,Female,Home and lifestyle,$34.42,6,$10.33,$216.85,2/18/2019,3:39:00 PM,Cash,$206.52,$4.76,$10.33,9.8,10
241729525,B,Mandalay,Normal,Male,Sports and travel,$51.91,10,$25.96,$545.06,2/16/2019,12:21:00 PM,Cash,$519.10,$4.76,$25.96,8.2,8
575308091,A,Yangon,Normal,Male,Sports and travel,$72.50,8,$29.00,$609.00,3/16/2019,7:25:00 PM,Ewallet,$580.00,$4.76,$29.00,9.2,9
731819469,C,Naypyitaw,Member,Female,Sports and travel,$89.80,10,$44.90,$942.90,1/23/2019,1:00:00 PM,Credit card,$898.00,$4.76,$44.90,5.4,5
280174359,C,Naypyitaw,Member,Male,Health and beauty,$90.50,10,$45.25,$950.25,1/25/2019,1:48:00 PM,Cash,$905.00,$4.76,$45.25,8.1,8
338652210,C,Naypyitaw,Member,Female,Health and beauty,$68.60,10,$34.30,$720.30,2/5/2019,7:57:00 PM,Cash,$686.00,$4.76,$34.30,9.1,9
488254221,C,Naypyitaw,Member,Female,Food and beverages,$30.41,1,$1.52,$31.93,2/22/2019,10:36:00 AM,Credit card,$30.41,$4.76,$1.52,8.4,8
239107476,A,Yangon,Normal,Female,Home and lifestyle,$77.95,6,$23.39,$491.09,1/21/2019,4:37:00 PM,Ewallet,$467.70,$4.76,$23.39,8,8
458411477,C,Naypyitaw,Normal,Female,Health and beauty,$46.26,6,$13.88,$291.44,3/8/2019,5:11:00 PM,Credit card,$277.56,$4.76,$13.88,9.5,10
685641609,A,Yangon,Member,Female,Fashion accessories,$30.14,10,$15.07,$316.47,2/10/2019,12:28:00 PM,Ewallet,$301.40,$4.76,$15.07,9.2,9
568905112,C,Naypyitaw,Normal,Male,Health and beauty,$66.14,4,$13.23,$277.79,3/19/2019,12:46:00 PM,Credit card,$264.56,$4.76,$13.23,5.6,6
262472794,B,Mandalay,Member,Male,Home and lifestyle,$71.86,8,$28.74,$603.62,3/6/2019,3:07:00 PM,Credit card,$574.88,$4.76,$28.74,6.2,6
238490436,A,Yangon,Normal,Male,Health and beauty,$32.46,8,$12.98,$272.66,3/27/2019,1:48:00 PM,Credit card,$259.68,$4.76,$12.98,4.9,5
608963517,B,Mandalay,Member,Female,Fashion accessories,$91.54,4,$18.31,$384.47,3/23/2019,7:20:00 PM,Credit card,$366.16,$4.76,$18.31,4.8,5
584867256,C,Naypyitaw,Member,Male,Sports and travel,$34.56,7,$12.10,$254.02,3/11/2019,4:07:00 PM,Credit card,$241.92,$4.76,$12.10,7.3,7
746940204,A,Yangon,Normal,Male,Fashion accessories,$83.24,9,$37.46,$786.62,1/29/2019,11:56:00 AM,Credit card,$749.16,$4.76,$37.46,7.4,7
214176927,C,Naypyitaw,Normal,Female,Food and beverages,$16.48,6,$4.94,$103.82,2/7/2019,6:23:00 PM,Ewallet,$98.88,$4.76,$4.94,9.9,10
400894171,C,Naypyitaw,Normal,Female,Sports and travel,$80.97,8,$32.39,$680.15,1/28/2019,1:05:00 PM,Cash,$647.76,$4.76,$32.39,9.3,9
782959291,A,Yangon,Member,Male,Food and beverages,$92.29,5,$23.07,$484.52,2/20/2019,3:55:00 PM,Credit card,$461.45,$4.76,$23.07,9,9
279742924,B,Mandalay,Member,Male,Electronic accessories,$72.17,1,$3.61,$75.78,1/4/2019,7:40:00 PM,Cash,$72.17,$4.76,$3.61,6.1,6
307852293,B,Mandalay,Normal,Male,Home and lifestyle,$50.28,5,$12.57,$263.97,3/7/2019,1:58:00 PM,Ewallet,$251.40,$4.76,$12.57,9.7,10
743041105,B,Mandalay,Member,Male,Health and beauty,$97.22,9,$43.75,$918.73,3/30/2019,2:43:00 PM,Ewallet,$874.98,$4.76,$43.75,6,6
423572993,B,Mandalay,Normal,Male,Sports and travel,$93.39,6,$28.02,$588.36,3/27/2019,7:18:00 PM,Ewallet,$560.34,$4.76,$28.02,10,10
894415205,C,Naypyitaw,Normal,Female,Food and beverages,$43.18,8,$17.27,$362.71,1/19/2019,7:39:00 PM,Credit card,$345.44,$4.76,$17.27,8.3,8
